date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:20	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Aug%202018%2016:09:22%20GMT	http://themes.quitenicestuff2.com/robots.txt		(from )
13:09:23	47089/47089	---MC-	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2016:09:22%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/index.html	(from )
13:09:25	5969/5969	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Dec%202016%2008:24:03%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/css/color-red.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/css/color-red.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:25	94212/94212	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Dec%202016%2003:46:15%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/css/style.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/css/style.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:26	17241/17241	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202016%2010:43:55%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/css/responsive.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/css/responsive.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:27	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/Users/ronaldo/Desktop/executive%202/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:28	36724/36724	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202016%2009:01:52%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/settings.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/settings.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:31	120120/120120	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Mar%202016%2008:22:56%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/layers.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/layers.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:32	59567/59567	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202015%2009:13:47%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/navigation.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/rs-plugin/css/navigation.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:32	4614/4614	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202014%2010:51:42%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/css/owl.carousel.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/css/owl.carousel.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:34	5316/5316	---M--	200	added ('OK')	text/css	date:Sun,%2015%20May%202016%2003:01:50%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/css/prettyPhoto.css	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/css/prettyPhoto.css	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
13:09:34	347/347	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Aug%202018%2016:09:34%20GMT	http://themes.quitenicestuff2.com/chauffeur/header-1/favicon.ico	C:/Users/ronaldo/Desktop/executive%202/themes.quitenicestuff2.com/chauffeur/header-1/favicon.ico	(from http://themes.quitenicestuff2.com/chauffeur/header-1/)
